date,CPI_inflation_rate,epu,log_epu,gprc_bra
1/1/19,3.776527566,127.0686,2.104038245,0.18
2/1/19,3.890225412,154.8355,2.189870541,0.21
3/1/19,4.575283531,158.1298,2.199013722,0.11
4/1/19,4.940505941,164.6699,2.216614222,0.03
5/1/19,4.658258543,184.267,2.265447565,0.11
6/1/19,3.366267152,146.9916,2.167292517,0.03
7/1/19,3.222020466,79.83704,1.902204427,0.03
8/1/19,3.428615501,161.1781,2.207306032,0.13
9/1/19,2.893424893,187.5531,2.273124247,0.04
10/1/19,2.535028577,178.1994,2.250906237,0.13
11/1/19,3.274906391,171.0524,2.233129172,0.09
12/1/19,4.306151617,183.1856,2.262891331,0.1
1/1/20,4.191771238,130.7154,2.116326756,0.05
2/1/20,4.005113905,232.2532,2.365961706,0.03
3/1/20,3.30315772,368.8998,2.56690842,0.07
4/1/20,2.399279429,312.1483,2.494360974,0.09
5/1/20,1.877727164,308.7681,2.489632425,0.04
6/1/20,2.132417385,115.9408,2.064236293,0.08
7/1/20,2.305624998,170.9839,2.232955219,0.02
8/1/20,2.43846476,263.135,2.420178618,0.05
9/1/20,3.135329314,227.6854,2.357335183,0.01
10/1/20,3.918350032,345.4357,2.538367219,0.03
11/1/20,4.311223326,265.0497,2.423327317,0.04
12/1/20,4.517456886,324.8837,2.511727923,0.03
1/1/21,4.559198112,204.1461,2.309941088,0.1
2/1/21,5.195378643,201.5782,2.304443563,0.03
3/1/21,6.099478544,184.3842,2.265723703,0.04
4/1/21,6.759116339,143.506,2.156870059,0.06
5/1/21,8.056818503,115.9756,2.064366628,0.04
6/1/21,8.347072366,200.0359,2.301107945,0.04
7/1/21,8.994822841,62.591,1.79651189,0.01
8/1/21,9.679773624,194.319,2.288515267,0.02
9/1/21,10.24620949,282.2317,2.450605792,0.09
10/1/21,10.67262216,260.6583,2.416071558,0.01
11/1/21,10.73850091,277.0633,2.442579003,0.01
