date,CPI_inflation_rate,log_epu,gprc_bra
9/1/18,4.525976016,2.114729048,0.04
10/1/18,4.557029449,2.415252042,0.06
11/1/18,4.046031396,2.249117608,0.04
12/1/18,3.74558117,2.450106322,0.01
1/1/19,3.776527566,2.104038245,0.18
2/1/19,3.890225412,2.189870541,0.21
3/1/19,4.575283531,2.199013722,0.11
4/1/19,4.940505941,2.216614222,0.03
5/1/19,4.658258543,2.265447565,0.11
6/1/19,3.366267152,2.167292517,0.03
7/1/19,3.222020466,1.902204427,0.03
8/1/19,3.428615501,2.207306032,0.13
9/1/19,2.893424893,2.273124247,0.04
10/1/19,2.535028577,2.250906237,0.13
11/1/19,3.274906391,2.233129172,0.09
12/1/19,4.306151617,2.262891331,0.1
1/1/20,4.191771238,2.116326756,0.05
2/1/20,4.005113905,2.365961706,0.03
3/1/20,3.30315772,2.56690842,0.07
4/1/20,2.399279429,2.494360974,0.09
5/1/20,1.877727164,2.489632425,0.04
6/1/20,2.132417385,2.064236293,0.08
7/1/20,2.305624998,2.232955219,0.02
8/1/20,2.43846476,2.420178618,0.05
9/1/20,3.135329314,2.357335183,0.01
10/1/20,3.918350032,2.538367219,0.03
11/1/20,4.311223326,2.423327317,0.04
12/1/20,4.517456886,2.511727923,0.03
1/1/21,4.559198112,2.309941088,0.1
2/1/21,5.195378643,2.304443563,0.03
3/1/21,6.099478544,2.265723703,0.04
4/1/21,6.759116339,2.156870059,0.06
5/1/21,8.056818503,2.064366628,0.04
6/1/21,8.347072366,2.301107945,0.04
7/1/21,8.994822841,1.79651189,0.01
8/1/21,9.679773624,2.288515267,0.02
9/1/21,10.24620949,2.450605792,0.09
10/1/21,10.67262216,2.416071558,0.01
11/1/21,10.73850091,2.442579003,0.01
