date,cpi_inflation_rate,log_scmp_epu,gprc_chn
2020-03-01,4.271123491,2.866075915,0.67
2020-04-01,3.246753247,2.913377169,0.6
2020-05-01,2.41187384,2.97068016,0.76
2020-06-01,2.506963788,2.926144382,0.77
2020-07-01,1.757631822,2.951050054,0.93
2020-08-01,2.387511478,2.914387194,0.66
2020-09-01,1.730418944,2.751137662,0.86
2020-10-01,0.541516245,2.800547558,0.65
2020-11-01,-0.449640288,2.859684267,0.42
2020-12-01,0.269784173,2.782842649,0.59
2021-01-01,-0.221631206,2.823022934,0.79
2021-02-01,-0.422799902,2.752356151,0.72
2021-03-01,0.321946648,2.693638323,0.84
2021-04-01,0.922648544,2.688621567,0.73
2021-05-01,1.644349406,2.692561133,0.64
2021-06-01,1.240196923,2.616026133,0.73
2021-07-01,1.91255969,2.703789507,0.53
2021-08-01,0.64158004,2.772908544,0.59
2021-09-01,0.461380255,2.551527465,0.84
2021-10-01,1.432840521,2.655281943,0.77
2021-11-01,2.477297816,2.691744018,0.81
